date,open,high,low,close,diff_close,rolling_median_10,ma_3,ma_7,ma_30,momentum_10,volatility_10,volatility_30,volatility_ratio_10,lag_1,lag_3,lag_7,trend_5,day_of_week,month,inflation,gdp_growth,trade_balance
2020-04-20,5.6913,5.7787,5.6871,5.7787,0.08420000000000005,5.6768,5.7177333333333324,5.682957142857143,5.589893333333333,0.07279999999999998,0.06377829306799195,0.08701024011607764,0.011036789081972061,5.6945,5.713,5.5805,0.04659000000000013,0,4,4.69785886363742,35.2,-54932.0
2020-04-21,5.7719,5.7995,5.7429,5.7726,-0.006099999999999994,5.6768,5.7486,5.712014285714285,5.607323333333334,0.08639999999999937,0.06328212315584172,0.08115101779802386,0.010962499247452054,5.7787,5.68,5.5692,0.05812999999999935,1,4,4.69785886363742,35.2,-54932.0
2020-04-22,5.7701,5.9073,5.7669,5.9062,0.13360000000000039,5.68725,5.819166666666667,5.745242857142857,5.62354,0.3437000000000001,0.055299629293513425,0.07903574958614422,0.009362979461161733,5.7726,5.6945,5.6736,0.06239999999999846,2,4,4.69785886363742,35.2,-54932.0
2020-04-23,5.9043,5.984,5.8148,5.9656,0.05940000000000012,5.703749999999999,5.8814666666666655,5.787228571428571,5.643863333333333,0.38510000000000044,0.055487304854353915,0.07792769275970253,0.009301211085951775,5.9062,5.7787,5.6717,0.08101000000000003,3,4,4.69785886363742,35.2,-54932.0
2020-04-24,5.9638,6.1958,5.9185,6.0515,0.08589999999999964,5.7428,5.974433333333334,5.835585714285714,5.666586666666666,0.4822999999999995,0.054292992181312054,0.07882658261295361,0.00897182387528911,5.9656,5.7726,5.713,0.1041799999999995,4,4,4.69785886363742,35.2,-54932.0
2020-04-27,6.0519,6.1957,6.0147,6.1203,0.06880000000000042,5.77565,6.0458,5.898485714285714,5.684473333333333,0.4466999999999999,0.05128448000018038,0.07072726018540054,0.008379406238285767,6.0515,5.9062,5.68,0.12782999999999944,0,4,4.69785886363742,35.2,-54932.0
2020-04-28,6.1213,6.206,5.9383,5.9466,-0.1737000000000002,5.8424499999999995,6.039466666666667,5.9345,5.698729999999999,0.2748999999999997,0.0857878837598878,0.07758000845993568,0.014426375367417987,6.1203,5.9656,5.6945,0.13513999999999982,1,4,4.69785886363742,35.2,-54932.0
2020-04-29,5.953,5.9925,5.801,5.8015,-0.14510000000000023,5.8538499999999996,5.956133333333334,5.937757142857143,5.706003333333333,0.0884999999999998,0.10130160961757291,0.08220207621060036,0.017461278913655592,5.9466,6.0515,5.7787,0.10534999999999961,2,4,4.69785886363742,35.2,-54932.0
2020-04-30,5.8009,6.0101,5.7916,6.0025,0.2010000000000005,5.9264,5.9168666666666665,5.9706,5.725,0.3225000000000007,0.1164534933400933,0.08395598388372967,0.01940083187673358,5.8015,6.1203,5.7726,0.08047999999999966,3,4,4.69785886363742,35.2,-54932.0
2020-05-01,6.0044,6.0392,5.9983,6.0232,0.02069999999999972,5.9561,5.942399999999999,5.9873142857142865,5.74528,0.32870000000000044,0.11636496274891167,0.08366787955341963,0.019319458551751836,6.0025,5.9466,5.9062,0.04194999999999993,4,5,4.69785886363742,35.2,-54932.0
